Word,POS_Tag,Fine_Tag,Lemma,Category,Sentence_No
NASA,PROPN,NNP,NASA,Noun,1
Dark,PROPN,NNP,Dark,Noun,1
Universe,PROPN,NNP,Universe,Noun,1
Seeking,VERB,VBG,seek,Verb,1
Nancy,PROPN,NNP,Nancy,Noun,1
Grace,PROPN,NNP,Grace,Noun,1
Roman,PROPN,NNP,Roman,Noun,1
Space,PROPN,NNP,Space,Noun,1
Telescope,PROPN,NNP,Telescope,Noun,1
Launches,PROPN,NNPS,Launches,Noun,1
month,NOUN,NN,month,Noun,1
mile,NOUN,NN,mile,Noun,1
journey,NOUN,NN,journey,Noun,1
orbit,NOUN,NN,orbit,Noun,1
NASA,PROPN,NNP,NASA,Noun,1
Nancy,PROPN,NNP,Nancy,Noun,1
Grace,PROPN,NNP,Grace,Noun,1
Roman,PROPN,NNP,Roman,Noun,1
Space,PROPN,NNP,Space,Noun,1
Telescope,PROPN,NNP,Telescope,Noun,1
will,AUX,MD,will,Verb,1
reveal,VERB,VB,reveal,Verb,1
universe,NOUN,NN,universe,Noun,1
secrets,NOUN,NNS,secret,Noun,1
mission,NOUN,NN,mission,Noun,2
launched,VERB,VBD,launch,Verb,2
EDT,PROPN,NNP,EDT,Noun,2
Sunday,PROPN,NNP,Sunday,Noun,2
SpaceX,PROPN,NNP,SpaceX,Noun,2
Falcon,PROPN,NNP,Falcon,Noun,2
Heavy,PROPN,NNP,Heavy,Noun,2
rocket,NOUN,NN,rocket,Noun,2
Launch,PROPN,NNP,Launch,Noun,2
Complex,PROPN,NNP,Complex,Noun,2
39A,NOUN,NN,39a,Noun,2
agency,NOUN,NN,agency,Noun,2
Kennedy,PROPN,NNP,Kennedy,Noun,2
Space,PROPN,NNP,Space,Noun,2
Center,PROPN,NNP,Center,Noun,2
Florida,PROPN,NNP,Florida,Noun,2
pairs,VERB,VBZ,pair,Verb,3
field,NOUN,NN,field,Noun,3
view,NOUN,NN,view,Noun,3
vision,NOUN,NN,vision,Noun,3
explore,VERB,VB,explore,Verb,3
swaths,NOUN,NNS,swath,Noun,3
sky,NOUN,NN,sky,Noun,3
probe,VERB,VB,probe,Verb,3
history,NOUN,NN,history,Noun,3
flagship,NOUN,NN,flagship,Noun,4
mission,NOUN,NN,mission,Noun,4
will,AUX,MD,will,Verb,4
help,VERB,VB,help,Verb,4
astronomers,NOUN,NNS,astronomer,Noun,4
explore,VERB,VB,explore,Verb,4
matter,NOUN,NN,matter,Noun,4
energy,NOUN,NN,energy,Noun,4
worlds,NOUN,NNS,world,Noun,4
system,NOUN,NN,system,Noun,4
known,VERB,VBN,know,Verb,4
exoplanets,NOUN,NNS,exoplanet,Noun,4
surveys,NOUN,NNS,survey,Noun,5
will,AUX,MD,will,Verb,5
support,VERB,VB,support,Verb,5
range,NOUN,NN,range,Noun,5
research,NOUN,NN,research,Noun,5
extending,VERB,VBG,extend,Verb,5
mission,NOUN,NN,mission,Noun,5
science,NOUN,NN,science,Noun,5
goals,NOUN,NNS,goal,Noun,5
Roman,PROPN,NNP,Roman,Noun,6
is,AUX,VBZ,be,Verb,6
kind,NOUN,NN,kind,Noun,6
success,NOUN,NN,success,Noun,6
story,NOUN,NN,story,Noun,6
want,VERB,VBP,want,Verb,6
see,VERB,VB,see,Verb,6
NASA,PROPN,NNP,NASA,Noun,6
said,VERB,VBD,say,Verb,6
NASA,PROPN,NNP,NASA,Noun,6
Administrator,PROPN,NNP,Administrator,Noun,6
Jared,PROPN,NNP,Jared,Noun,6
Isaacman,PROPN,NNP,Isaacman,Noun,6
Delivered,VERB,VBN,deliver,Verb,7
schedule,NOUN,NN,schedule,Noun,7
budget,NOUN,NN,budget,Noun,7
mission,NOUN,NN,mission,Noun,7
reflects,VERB,VBZ,reflect,Verb,7
decade,NOUN,NN,decade,Noun,7
dedication,NOUN,NN,dedication,Noun,7
NASA,PROPN,NNP,NASA,Noun,7
workforce,NOUN,NN,workforce,Noun,7
industry,NOUN,NN,industry,Noun,7
partners,NOUN,NNS,partner,Noun,7
Roman,PROPN,NNP,Roman,Noun,8
will,AUX,MD,will,Verb,8
give,VERB,VB,give,Verb,8
atlas,NOUN,NNS,atla,Noun,8
universe,NOUN,NN,universe,Noun,8
push,VERB,VB,push,Verb,8
boundaries,NOUN,NNS,boundary,Noun,8
discovery,NOUN,NN,discovery,Noun,8
demonstrate,VERB,VB,demonstrate,Verb,8
is,AUX,VBZ,be,Verb,8
America,PROPN,NNP,America,Noun,8
space,NOUN,NN,space,Noun,8
program,NOUN,NN,program,Noun,8
pairs,VERB,VBZ,pair,Verb,8
ambition,NOUN,NN,ambition,Noun,8
execution,NOUN,NN,execution,Noun,8
ground,NOUN,NN,ground,Noun,9
control,NOUN,NN,control,Noun,9
team,NOUN,NN,team,Noun,9
NASA,PROPN,NNP,NASA,Noun,9
Goddard,PROPN,NNP,Goddard,Noun,9
Space,PROPN,NNP,Space,Noun,9
Flight,PROPN,NNP,Flight,Noun,9
Center,PROPN,NNP,Center,Noun,9
Greenbelt,PROPN,NNP,Greenbelt,Noun,9
Maryland,PROPN,NNP,Maryland,Noun,9
began,VERB,VBD,begin,Verb,9
receiving,VERB,VBG,receive,Verb,9
telemetry,NOUN,NN,telemetry,Noun,9
data,NOUN,NNS,datum,Noun,9
Roman,PROPN,NNP,Roman,Noun,9
minutes,NOUN,NNS,minute,Noun,9
launch,NOUN,NN,launch,Noun,9
Falcon,PROPN,NNP,Falcon,Noun,10
Heavy,PROPN,NNP,Heavy,Noun,10
rocket,NOUN,NN,rocket,Noun,10
performed,VERB,VBD,perform,Verb,10
expected,VERB,VBN,expect,Verb,10
separating,VERB,VBG,separate,Verb,10
observatory,NOUN,NN,observatory,Noun,10
minutes,NOUN,NNS,minute,Noun,10
flight,NOUN,NN,flight,Noun,10
separating,VERB,VBG,separate,Verb,11
core,NOUN,NN,core,Noun,11
rocket,NOUN,NN,rocket,Noun,11
boosters,NOUN,NNS,booster,Noun,11
returned,VERB,VBD,return,Verb,11
launch,NOUN,NN,launch,Noun,11
